technology_id,technology,sensor,relation,gate,processor,actuator,evidence_status,evidence_qualifier,assignment_confidence,references,reference_dois
T020,Trispecific antibody,3x Identity,Independent,OR-like,Binding,Neutralization,evidence-backed,partial,high,"Xu 2017 (Science, doi:10.1126/science.aan8630)",10.1126/science.aan8630
T021,Antibody-cytokine fusion,Context + Partner,,Direct,Binding,Receptor signal modulation,evidence-backed,partial,high,"Carnemolla 2002 (Blood, doi:10.1182/blood.v99.5.1659); Weide 2019 (Cancer Immunology Immunotherapy, doi:10.1007/s00262-019-02383-z)",10.1182/blood.v99.5.1659; 10.1007/s00262-019-02383-z
T022,De novo designed mini-binder,,,,,,incomplete,,low,"Watson 2023 (Nature, doi:10.1038/s41586-023-06415-8)",10.1038/s41586-023-06415-8
T023,Chemically-induced dimerization system,Partner,,Conditional Unlock,Assembly,,evidence-backed,partial,medium,"Ho 1996 (Nature, doi:10.1038/382822a0); DiStasi 2011 (New England Journal of Medicine, doi:10.1056/nejmoa1106152)",10.1038/382822a0; 10.1056/nejmoa1106152
T024,Common light chain bispecific platform,Identity + Partner,,,,T-cell recruitment,evidence-backed,partial,medium,"Merchant 1998 (Nature Biotechnology, doi:10.1038/nbt0798-677); Shiraiwa 2019 (Methods, doi:10.1016/j.ymeth.2018.10.005)",10.1038/nbt0798-677; 10.1016/j.ymeth.2018.10.005
T025,Fc engineering for extended half-life,Partner + State,,Threshold-like,Trafficking,Exposure / half-life modulation,evidence-backed,partial,medium,"DallAcqua 2002 (Journal of Immunology, doi:10.4049/jimmunol.169.9.5171); Robbie 2013 (Antimicrobial Agents and Chemotherapy, doi:10.1128/aac.01285-13)",10.4049/jimmunol.169.9.5171; 10.1128/aac.01285-13
T026,Bispecific checkpoint inhibitor,2x Identity,,Direct,Binding + Internalization/degradation,Neutralization,evidence-backed,partial,medium-high,"Dovedi 2021 (Cancer Discovery, doi:10.1158/2159-8290.cd-20-1445)",10.1158/2159-8290.cd-20-1445
T027,Multi-specific NK cell engager,Partner + Partner + Identity,Cooperative,Direct,Proximity,NK-cell recruitment / Receptor signal modulation,evidence-backed,,medium-high,"Gauthier 2019 (Cell, doi:10.1016/j.cell.2019.04.041); Demaria 2022 (Cell Reports Medicine, doi:10.1016/j.xcrm.2022.100783)",10.1016/j.cell.2019.04.041; 10.1016/j.xcrm.2022.100783
T028,Brain-shuttle bispecific antibody,Identity,,Direct,Binding,Neutralization,evidence-backed,partial,medium,"Yu 2011 (Science Translational Medicine, doi:10.1126/scitranslmed.3002230); Grimm 2023 (mAbs, doi:10.1080/19420862.2023.2261509)",10.1126/scitranslmed.3002230; 10.1080/19420862.2023.2261509
T030,Protease-activated cytokine prodrug,Context + Partner,,Conditional Unlock,Release,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Hsu 2021 (Nature Communications, doi:10.1038/s41467-021-22980-w)",10.1038/s41467-021-22980-w
T029,Light-regulated allosteric protein switch,State,,Direct,Conformational change,Enzymatic activity,evidence-backed,partial,medium,"Shaaya 2020 (eLife, doi:10.7554/elife.60647)",10.7554/elife.60647
T031,TCR-mimetic T-cell engager,Identity + Partner,,Direct,Proximity,T-cell recruitment/killing,evidence-backed,partial,high,"Liddy 2012 (Nature Medicine, doi:10.1038/nm.2764); Nathan 2021 (New England Journal of Medicine, doi:10.1056/nejmoa2103485)",10.1038/nm.2764; 10.1056/nejmoa2103485
T032,Bicycle toxin conjugate,Identity + Context,Independent,Direct,Binding -> Trafficking -> Release,Payload delivery,evidence-backed,partial,high,"Mudd 2022 (Journal of Medicinal Chemistry, doi:10.1021/acs.jmedchem.2c00065); Rigby 2022 (Molecular Cancer Therapeutics, doi:10.1158/1535-7163.mct-21-0875)",10.1021/acs.jmedchem.2c00065; 10.1158/1535-7163.mct-21-0875
T033,Switchable CID antibody assembly,Partner,,Conditional Unlock,Assembly,Multi-output,evidence-backed,full-text confirmed,high,"Martinko 2022 (Proceedings of the National Academy of Sciences, doi:10.1073/pnas.2117402119)",10.1073/pnas.2117402119
T035,Albumin-binding domain half-life extension,Partner,,Direct,Binding,Exposure / half-life modulation,evidence-backed,partial,high,"LiR 2016 (Journal of Controlled Release, doi:10.1016/j.jconrel.2016.03.004)",10.1016/j.jconrel.2016.03.004
T036,Bivalent anti-VWF Nanobody,2x Identity,Avidity-coupled,Direct,Binding,Neutralization,evidence-backed,,high,"Ulrichts 2011 (Blood, doi:10.1182/blood-2010-11-317859)",10.1182/blood-2010-11-317859
T037,"PEGylated IL-2 cytokine prodrug with releasable, time-delayed PEG shedding",Self,N/A,Direct,Release,Receptor signal modulation,evidence-backed,,medium,"Charych 2016 (Clinical Cancer Research, doi:10.1158/1078-0432.ccr-15-1631)",10.1158/1078-0432.ccr-15-1631
T038,Antibody-based PROTAC / AbTAC,Identity + Partner,Independent,Direct,Proximity,Internalization / degradation,evidence-backed,,high,"Cotton 2021 (Journal of the American Chemical Society, doi:10.1021/jacs.0c10008)",10.1021/jacs.0c10008
T039,Fibronectin domain scaffold antagonist,Identity,N/A,Direct,Binding,Neutralization,evidence-backed,,high,"Mitchell 2014 (The Journal of Pharmacology and Experimental Therapeutics, doi:10.1124/jpet.114.214221)",10.1124/jpet.114.214221
T040,SpyTag/SpyCatcher spontaneous covalent ligation system,Partner,N/A,Direct,Assembly,,evidence-backed,,high,"Zakeri 2012 (Proceedings of the National Academy of Sciences of the United States of America, doi:10.1073/pnas.1115485109)",10.1073/pnas.1115485109
T041,Catalytic antibody / abzyme,Identity,N/A,Direct,Catalytic amplification,Enzymatic activity,evidence-backed,,high,"Landry 1993 (Science, doi:10.1126/science.8456315)",10.1126/science.8456315
T042,Co-LOCKR colocalization-dependent designed protein logic switch,Multiple Identity,Cooperative / Competitive,AND-like / NOT-like / OR-like,Assembly / Clustering,T-cell recruitment / Multi-output,evidence-backed,full-text confirmed,high,"Lajoie 2020 (Science, doi:10.1126/science.aba6527)",10.1126/science.aba6527
T016,Split cytokine / orthogonal cytokine-receptor pair,Partner,N/A,Direct,Binding,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Sockolosky 2018 (Science, doi:10.1126/science.aar3246)",10.1126/science.aar3246
T043,Synthetic Notch receptor,Identity,N/A,Conditional Unlock,Release -> Trafficking,Multi-output,evidence-backed,full-text confirmed,high,"Roybal 2016 (Cell, doi:10.1016/j.cell.2016.09.011)",10.1016/j.cell.2016.09.011
T044,Geometry-tunable bispecific T-cell engager,Identity + Partner,Independent,Direct,Proximity,T-cell recruitment / killing,evidence-backed,full-text confirmed,high,"Leithner 2025 (Proceedings of the National Academy of Sciences of the United States of America, doi:10.1073/pnas.2425781122)",10.1073/pnas.2425781122
T045,XTEN/PAS unstructured polypeptide fusion for passive half-life extension,,,,,,incomplete,,n/a,"Schellenberger 2009 (Nature Biotechnology, doi:10.1038/nbt.1588); Brandl 2019 (Journal of Controlled Release, doi:10.1016/j.jconrel.2019.06.030)",10.1038/nbt.1588; 10.1016/j.jconrel.2019.06.030
T046,Boolean logic-gated protein release from biomaterials via molecular topology,Context + State,Independent,AND-like / OR-like,Release,Multi-output,evidence-backed,,medium,"Gharios 2025 (Nature Chemical Biology, doi:10.1038/s41589-025-02037-5); Ross 2025 (Angewandte Chemie International Edition, doi:10.1002/anie.202519925)",10.1038/s41589-025-02037-5; 10.1002/anie.202519925
T047,Effector-triggered facilitated-dissociation kinetic switch,Partner,,Direct,"Binding -> Conformational change, ordered",Receptor signal modulation,evidence-backed,full-text confirmed,high,"Broerman 2025 (Nature, doi:10.1038/s41586-025-09549-z)",10.1038/s41586-025-09549-z
T048,Faricimab,2x Identity,Independent,Direct,Binding,Neutralization,evidence-backed,,high,"Regula 2016 (EMBO Molecular Medicine, doi:10.15252/emmm.201505889); Regula 2019 (EMBO Molecular Medicine, doi:10.15252/emmm.201910666)",10.15252/emmm.201505889; 10.15252/emmm.201910666
T049,Efgartigimod,Identity + State,,Direct,Binding -> Trafficking,Neutralization,evidence-backed,full-text confirmed,high,"Ulrichts 2018 (Journal of Clinical Investigation, doi:10.1172/JCI97911)",10.1172/JCI97911
T050,Amivantamab,Identity + Identity + Partner,uncertain,Direct,Binding -> Proximity,Multi-output,evidence-backed,,medium-high,"Neijssen 2021 (Journal of Biological Chemistry, doi:10.1016/j.jbc.2021.100641); Vijayaraghavan 2020 (Molecular Cancer Therapeutics, doi:10.1158/1535-7163.MCT-20-0071)",10.1016/j.jbc.2021.100641; 10.1158/1535-7163.MCT-20-0071
T051,Bimekizumab,2x Identity,Independent,OR-like,Binding,Neutralization,evidence-backed,,medium,"Adams 2020 (Frontiers in Immunology, doi:10.3389/fimmu.2020.01894); Adams 2024 (Journal of Investigative Dermatology, doi:10.1016/j.jid.2024.03.037)",10.3389/fimmu.2020.01894; 10.1016/j.jid.2024.03.037
T052,Lecanemab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium,"Tucker 2015 (Journal of Alzheimer's Disease, doi:10.3233/JAD-140741)",10.3233/JAD-140741
T053,Sotatercept,Identity + Identity + Identity + Identity,uncertain,Direct,Binding,Multi-output,evidence-backed,full-text confirmed,medium-high,"Yung 2020 (Science Translational Medicine, doi:10.1126/scitranslmed.aaz5660)",10.1126/scitranslmed.aaz5660
T054,Tarlatamab,Identity + Partner + Partner,uncertain,Direct,Binding -> Proximity,Multi-output,evidence-backed,,medium-high,"Giffin 2021 (Clinical Cancer Research, doi:10.1158/1078-0432.CCR-20-2845); Lorenczewski 2017 (Blood)",10.1158/1078-0432.CCR-20-2845
T055,Teplizumab,Identity,,Direct,Binding,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Xu 2000 (Cellular Immunology, doi:10.1006/cimm.2000.1617); Long 2016 (Science Immunology, doi:10.1126/sciimmunol.aai7793)",10.1006/cimm.2000.1617; 10.1126/sciimmunol.aai7793
T056,Zanidatamab,2x Identity,Cooperative / Avidity-coupled,Direct,Clustering -> Trafficking,Multi-output,evidence-backed,full-text confirmed,high,"Weisser 2023 (Nature Communications, doi:10.1038/s41467-023-37029-3)",10.1038/s41467-023-37029-3
T057,Zilucoplan,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Tang 2023 (Frontiers in Immunology, doi:10.3389/fimmu.2023.1213920)",10.3389/fimmu.2023.1213920
T058,Crovalimab,Identity + Partner + State,,Direct,Binding -> Trafficking -> Release,Neutralization,evidence-backed,,high,"Sampei 2018 (PLOS ONE, doi:10.1371/journal.pone.0209509); Fukuzawa 2017 (Scientific Reports, doi:10.1038/s41598-017-01087-7)",10.1371/journal.pone.0209509; 10.1038/s41598-017-01087-7
T059,Pegcetacoplan,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Risitano 2014 (Blood, doi:10.1182/blood-2013-11-536573)",10.1182/blood-2013-11-536573
T060,Efanesoctocog alfa,,,,,,incomplete,,n/a,"Chhabra 2020 (Blood, doi:10.1182/blood.2019001292)",10.1182/blood.2019001292
T061,Concizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Hilden 2012 (Blood, doi:10.1182/blood-2012-01-401620)",10.1182/blood-2012-01-401620
T062,Glofitamab,2x Identity + Partner,,Direct,Proximity,T-cell recruitment,evidence-backed,,medium-high,"Bacac 2018 (Clinical Cancer Research, doi:10.1158/1078-0432.CCR-18-0455)",10.1158/1078-0432.CCR-18-0455
T063,Sutimlimab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Shi 2014 (Blood, doi:10.1182/blood-2014-02-556027)",10.1182/blood-2014-02-556027
T064,Rozanolixizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Smith 2018 (mAbs, doi:10.1080/19420862.2018.1505464)",10.1080/19420862.2018.1505464
T065,Nirsevimab,Identity + Partner,,Direct,Binding + Binding -> Trafficking -> Release,Multi-output,evidence-backed,,medium-high,"Zhu 2017 (Science Translational Medicine, doi:10.1126/scitranslmed.aaj1928)",10.1126/scitranslmed.aaj1928
T066,Talquetamab,Identity + Partner,,Direct,Proximity,T-cell recruitment,evidence-backed,,medium-high,"Pillarisetti 2020 (Blood, doi:10.1182/blood.2019003342)",10.1182/blood.2019003342
T067,Teclistamab,Identity + Partner,Independent,Direct,Proximity,T-cell recruitment,evidence-backed,,medium,"Frerichs 2020 (Clinical Cancer Research, doi:10.1158/1078-0432.CCR-19-2299)",10.1158/1078-0432.CCR-19-2299
T068,Donanemab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"DeMattos 2012 (Neuron, doi:10.1016/j.neuron.2012.10.029)",10.1016/j.neuron.2012.10.029
T069,Dupilumab,Identity,,Direct,Binding,Multi-output,evidence-backed,full-text confirmed,high,"LeFlocH 2020 (Allergy, doi:10.1111/all.14151)",10.1111/all.14151
T070,Spesolimab,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Ganesan 2017 (mAbs, doi:10.1080/19420862.2017.1353853)",10.1080/19420862.2017.1353853
T071,Tezepelumab,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Verstraete 2017 (Nature Communications, doi:10.1038/ncomms14937)",10.1038/ncomms14937
T072,Pegunigalsidase alfa,Identity,,Direct,Catalytic amplification,Enzymatic activity,evidence-backed,,medium-high,"Ruderfer 2018 (Bioconjugate Chemistry, doi:10.1021/acs.bioconjchem.8b00133)",10.1021/acs.bioconjchem.8b00133
T073,Olipudase alfa,Identity,,Direct,Catalytic amplification,Enzymatic activity,evidence-backed,full-text confirmed,high,"Miranda 2000 (FASEB Journal, doi:10.1096/fj.00-0014com)",10.1096/fj.00-0014com
T074,Vosoritide,Identity,,Direct,Binding,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Wendt 2015 (Journal of Pharmacology and Experimental Therapeutics, doi:10.1124/jpet.114.218560)",10.1124/jpet.114.218560
T075,Belantamab mafodotin,Identity,,Direct,Binding -> Trafficking -> Release,Multi-output,evidence-backed,full-text confirmed,high,"Tai 2014 (Blood, doi:10.1182/blood-2013-10-535088)",10.1182/blood-2013-10-535088
T076,Lonapegsomatropin,Self,,Direct,Release,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Sprogoe 2017 (Endocrine Connections, doi:10.1530/EC-17-0203)",10.1530/EC-17-0203
T077,AFM13,Identity + Partner,,Direct,Proximity,NK-cell recruitment,evidence-backed,full-text confirmed,high,"Reusch 2014 (mAbs, doi:10.4161/mabs.28591)",10.4161/mabs.28591
T078,Mim8/denecimig,2x Identity/Partner,,Direct,Proximity,Enzyme complex assembly / catalytic scaffolding,evidence-backed,full-text confirmed,high,"Ostergaard 2021 (Blood, doi:10.1182/blood.2020010331)",10.1182/blood.2020010331
T079,CIPHR de novo protein logic gates,Partner,Cooperative / Competitive,NOT-like,Assembly,Multi-output,evidence-backed,full-text confirmed,high,"Chen 2020 (Science, doi:10.1126/science.aay2790)",10.1126/science.aay2790
T080,Pembrolizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Hamid 2013 (New England Journal of Medicine, doi:10.1056/NEJMoa1305133)",10.1056/NEJMoa1305133
T081,Ipilimumab,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Ramagopal 2017 (Proceedings of the National Academy of Sciences, doi:10.1073/pnas.1617941114)",10.1073/pnas.1617941114
T082,Denosumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Kostenuik 2009 (Journal of Bone and Mineral Research, doi:10.1359/jbmr.081112)",10.1359/jbmr.081112
T083,Omalizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Presta 1993 (Journal of Immunology, doi:10.4049/jimmunol.151.5.2623)",10.4049/jimmunol.151.5.2623
T084,Evolocumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Chan 2009 (Proceedings of the National Academy of Sciences, doi:10.1073/pnas.0903849106)",10.1073/pnas.0903849106
T085,Ustekinumab,Identity,,Direct,Binding,Multi-output,evidence-backed,full-text confirmed,high,"Benson 2011 (mAbs, doi:10.4161/mabs.3.6.17815)",10.4161/mabs.3.6.17815
T086,Natalizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Yednock 1992 (Nature, doi:10.1038/356063a0)",10.1038/356063a0
T087,Romosozumab,Identity,,Direct,Binding,Multi-output,evidence-backed,,medium-high,"Li 2009 (Journal of Bone and Mineral Research, doi:10.1359/jbmr.081206)",10.1359/jbmr.081206
T088,Erenumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"King 2019 (ACS Pharmacology & Translational Science, doi:10.1021/acsptsci.9b00061)",10.1021/acsptsci.9b00061
T089,Bezlotoxumab,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Babcock 2006 (Infection and Immunity, doi:10.1128/iai.00982-06)",10.1128/iai.00982-06
T090,Infliximab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Knight 1993 (Molecular Immunology, doi:10.1016/0161-5890(93)90106-l)",10.1016/0161-5890(93)90106-l
T091,Adalimumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Jespers 1994 (Bio/Technology, doi:10.1038/nbt0994-899)",10.1038/nbt0994-899
T092,Etanercept,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Peppel 1991 (Journal of Experimental Medicine, doi:10.1084/jem.174.6.1483)",10.1084/jem.174.6.1483
T093,Rituximab,Identity + Partner,,Direct,Proximity,Fc effector function,evidence-backed,,medium-high,"Reff 1994 (Blood, doi:10.1182/blood.v83.2.435.435)",10.1182/blood.v83.2.435.435
T094,Trastuzumab,Identity + Partner,,Direct,Binding + Proximity,Multi-output,evidence-backed,full-text confirmed,high,"Carter 1992 (Proceedings of the National Academy of Sciences, doi:10.1073/pnas.89.10.4285)",10.1073/pnas.89.10.4285
T095,Bevacizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,Presta 1997 (Cancer Research),
T096,Secukinumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Hueber 2010 (Science Translational Medicine, doi:10.1126/scitranslmed.3001107)",10.1126/scitranslmed.3001107
T097,Mepolizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Hart 2001 (Journal of Allergy and Clinical Immunology, doi:10.1067/mai.2001.116576)",10.1067/mai.2001.116576
T098,Vedolizumab,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium-high,"Soler 2009 (Journal of Pharmacology and Experimental Therapeutics, doi:10.1124/jpet.109.153973)",10.1124/jpet.109.153973
T099,Alemtuzumab,Identity + Partner,,Direct,Proximity,Fc effector function,evidence-backed,,medium-high,"Hale 1988 (Lancet, doi:10.1016/s0140-6736(88)90588-0)",10.1016/s0140-6736(88)90588-0
T100,XPAT dual-XTEN-masked T-cell engager,Context x2 independent instances + Identity + Partner,Independent,AND-like,Release -> Proximity,T-cell recruitment/killing,evidence-backed,full-text confirmed,high,"Cattaruzza 2023 (Nature Cancer, doi:10.1038/s43018-023-00536-9)",10.1038/s43018-023-00536-9
T105,Hemibody,Identity + Identity,Cooperative,AND-like,Assembly -> Proximity,T-cell recruitment/killing,evidence-backed,full-text confirmed,high,"Banaszek 2019 (Nature Communications, doi:10.1038/s41467-019-13196-0)",10.1038/s41467-019-13196-0
T106,Dual-tumor-antigen AND-gated trispecific T-cell engager,Identity + Identity + Partner,Cooperative,AND-like,Proximity,T-cell recruitment/killing,evidence-backed,abstract-level only,medium,"Dicara 2022 (mAbs, doi:10.1080/19420862.2022.2115213)",10.1080/19420862.2022.2115213
T108,"MCLA-128 / zenocutuzumab ""Dock and Block""",2x Identity,Cooperative,Direct,"Binding -> Conformational change, ordered",Neutralization,evidence-backed,abstract-level only,medium,"Geuijen 2018 (Cancer Cell, doi:10.1016/j.ccell.2018.04.003)",10.1016/j.ccell.2018.04.003
T109,Boltbody immune-stimulating antibody conjugate,Identity + Partner,Independent,Direct,"Binding -> Trafficking -> Release, ordered",Payload delivery,evidence-backed,abstract-level only,medium,"Ackerman 2021 (Nature Cancer, doi:10.1038/s43018-020-00136-x)",10.1038/s43018-020-00136-x
T101,Avidity/affinity-tuned anti-HER2 x anti-CD3 T-cell-dependent bispecific,2x Identity + Partner,Avidity-coupled,Threshold,Proximity,T-cell recruitment/killing,evidence-backed,abstract-level only,medium,"Slaga 2018 (Science Translational Medicine, doi:10.1126/scitranslmed.aat5775)",10.1126/scitranslmed.aat5775
T102,Fv-CID,Partner,,Conditional Unlock,Assembly,Multi-output,evidence-backed,abstract-level only,medium,"Rihtar 2025 (Cell Chemical Biology, doi:10.1016/j.chembiol.2025.01.007)",10.1016/j.chembiol.2025.01.007
T103,acid-Fc,State + Partner + Identity,,Conditional Unlock,Proximity,Fc effector function,evidence-backed,abstract-level only,medium,"Liu 2022 (The Journal of Biological Chemistry, doi:10.1016/j.jbc.2022.101798)",10.1016/j.jbc.2022.101798
T104,Site-specific polymer masking with interchangeable/redundant activation stimuli,Context OR State,,OR-like,Release,,evidence-backed,,medium,"Lucchi 2023 (New Biotechnology, doi:10.1016/j.nbt.2023.10.004)",10.1016/j.nbt.2023.10.004
T107,Cue Biopharma Immuno-STAT / Neo-STAT,Identity + Partner,Independent,AND-like,Binding,Receptor signal modulation,evidence-backed,,medium-high,"Seidel 2021 (Scientific Reports, doi:10.1038/s41598-021-98716-z)",10.1038/s41598-021-98716-z
T110,AB248,Identity + Partner,Cooperative,Direct,Proximity,Receptor signal modulation,evidence-backed,abstract-level only,medium,"Moynihan 2024 (Cancer Discovery, doi:10.1158/2159-8290.CD-23-1266)",10.1158/2159-8290.CD-23-1266
T111,STAR0602,Identity + Partner,Cooperative,Direct,Proximity,Receptor signal modulation,evidence-backed,abstract-level only,medium,"Hsu 2023 (Science Translational Medicine, doi:10.1126/scitranslmed.adi0258)",10.1126/scitranslmed.adi0258
T112,Photobody,State,,Conditional Unlock,Release,,evidence-backed,,medium,"Bridge 2019 (Angewandte Chemie International Edition, doi:10.1002/anie.201908655)",10.1002/anie.201908655
